Best L-test value: 7.60989871732

Latitude and longitude: 22.9038, 120.4642; model output: 0.109342872179
Latitude and longitude: 23.4213, 120.6260; model output: 0.180089717682
Latitude and longitude: 23.1713, 120.9842; model output: 0.876044349749
Latitude and longitude: 23.8978, 121.0173; model output: 0.290555722354
Latitude and longitude: 23.8937, 121.1402; model output: 0.657852734048
Latitude and longitude: 23.7978, 121.4723; model output: 0.939263426974
Latitude and longitude: 24.2682, 121.4395; model output: 0.650784155089
Latitude and longitude: 24.0937, 121.6242; model output: 0.473293391776
Latitude and longitude: 24.4050, 121.6742; model output: 0.239086303354
Latitude and longitude: 24.9937, 121.7287; model output: 0.949140671125
Latitude and longitude not available, model output: 0.384032986382
Latitude and longitude: 24.9877, 121.8840; model output: 0.635115754299
Latitude and longitude not available, model output: 0.700165983567
Latitude and longitude not available, model output: 0.459320122868
Latitude and longitude not available, model output: 0.559054567885
Latitude and longitude not available, model output: 0.786390926423
Latitude and longitude not available, model output: 0.495854157953
Latitude and longitude not available, model output: 0.797807685311
Latitude and longitude not available, model output: 0.712281897639
Latitude and longitude not available, model output: 0.356329496637
Latitude and longitude not available, model output: 0.825494519881
Latitude and longitude not available, model output: 0.794697785808
Latitude and longitude not available, model output: 0.770657609436
Latitude and longitude not available, model output: 0.119091099818
Latitude and longitude not available, model output: 0.202688136642
Latitude and longitude not available, model output: 0.200928763104
Latitude and longitude not available, model output: 0.944296752098
Latitude and longitude not available, model output: 0.10844079442
Latitude and longitude not available, model output: 0.412609840215
Latitude and longitude not available, model output: 0.285033591089
Latitude and longitude not available, model output: 0.495920263867
Latitude and longitude not available, model output: 0.169201367906
Latitude and longitude not available, model output: 0.237436325512
Latitude and longitude not available, model output: 0.565049871664
Latitude and longitude not available, model output: 0.55162173047
Latitude and longitude not available, model output: 0.233872173007
Latitude and longitude not available, model output: 0.317809477298
Latitude and longitude not available, model output: 0.720771438241
Latitude and longitude not available, model output: 0.827279805593
Latitude and longitude not available, model output: 0.273641901109
Latitude and longitude not available, model output: 0.521410811541
Latitude and longitude not available, model output: 0.150577567534
Latitude and longitude not available, model output: 0.69908195844
Latitude and longitude not available, model output: 0.632758205908
Latitude and longitude not available, model output: 0.649489659866
Latitude and longitude not available, model output: 0.137689466073
Latitude and longitude not available, model output: 0.0524977970551
Latitude and longitude not available, model output: 0.056480161997
Latitude and longitude not available, model output: 0.911684328826
Latitude and longitude not available, model output: 0.946049383539
Latitude and longitude not available, model output: 0.355650174564
Latitude and longitude not available, model output: 0.0475908850331
Latitude and longitude not available, model output: 0.0350451953186
Latitude and longitude not available, model output: 0.976139324204
Latitude and longitude not available, model output: 0.657195054124
Latitude and longitude not available, model output: 0.706109647141
Latitude and longitude not available, model output: 0.977786089003
Latitude and longitude not available, model output: 0.318005099598
Latitude and longitude not available, model output: 0.746964032715
Latitude and longitude not available, model output: 0.00476707686879
